file,year,longitude,latitude,lr_shape,hr_shape,scale_h,channels,shape_ok,finite_ok,n_nonfinite,reflectance_ok,hr_min,hr_max,bands_ok,band_order_plausible,lr_matches_4x_avg_hr,lr_max_abs_err_vs_4x_avg,has_stored_metadata,valid
S2_2018_m121.05878_38.09534.npz,2018,-121.05878460567479,38.0953428406479,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.0170499999076128,0.44279998540878296,True,True,True,0.0,True,True
S2_2018_m121.05890_38.07924.npz,2018,-121.05889850723605,38.07923914676831,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01360000018030405,0.4952000081539154,True,True,True,0.0,True,True
S2_2018_m121.06074_38.10713.npz,2018,-121.06074494985722,38.10713120681859,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.02879999950528145,0.45879998803138733,True,True,True,0.0,True,True
S2_2018_m121.06118_38.20491.npz,2018,-121.06118152283833,38.20490511222091,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.007899999618530273,0.571399986743927,True,True,True,0.0,True,True
S2_2018_m121.06121_38.10537.npz,2018,-121.06120513229146,38.1053714856332,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.02879999950528145,0.45879998803138733,True,True,True,0.0,True,True
S2_2018_m121.06187_38.00459.npz,2018,-121.06186803835539,38.00459374892378,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013000000268220901,0.42320001125335693,True,True,True,0.0,True,True
S2_2018_m121.06230_38.08490.npz,2018,-121.06230194137497,38.08490337332347,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014600000344216824,0.4187999963760376,True,True,True,0.0,True,True
S2_2018_m121.06289_38.10918.npz,2018,-121.06288915576248,38.10917774846134,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.016300000250339508,0.45879998803138733,True,True,True,0.0,True,True
S2_2018_m121.06445_38.00073.npz,2018,-121.0644519483039,38.00072536850686,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.012900000438094139,0.4163999855518341,True,True,True,0.0,True,True
S2_2018_m121.06471_38.20167.npz,2018,-121.06471076112902,38.201672481335045,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01209999993443489,0.5812000036239624,True,True,True,0.0,True,True
S2_2018_m121.06675_38.08536.npz,2018,-121.06675235579021,38.08535804906736,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.014600000344216824,0.4187999963760376,True,True,True,0.0,True,True
S2_2018_m121.06679_38.18710.npz,2018,-121.06678983098263,38.18709862718303,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008349999785423279,0.4796000123023987,True,True,True,0.0,True,True
S2_2018_m121.06683_38.18515.npz,2018,-121.06682640746877,38.18515028538349,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008349999785423279,0.4796000123023987,True,True,True,0.0,True,True
S2_2018_m121.06905_38.18330.npz,2018,-121.06904609218181,38.1833000185313,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008349999785423279,0.4796000123023987,True,True,True,0.0,True,True
S2_2018_m121.06964_38.10083.npz,2018,-121.06964102320154,38.10083365354051,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.026200000196695328,0.4560000002384186,True,True,True,0.0,True,True
S2_2018_m121.06976_38.30237.npz,2018,-121.06976065339859,38.3023652246266,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.010599999688565731,0.46974998712539673,True,True,True,0.0,True,True
S2_2018_m121.06999_38.20140.npz,2018,-121.06998954862432,38.20140090447105,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008200000040233135,0.5812000036239624,True,True,True,0.0,True,True
S2_2018_m121.07007_38.09797.npz,2018,-121.07007414939146,38.097970518811316,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.02290000021457672,0.4528000056743622,True,True,True,0.0,True,True
S2_2018_m121.07007_38.18419.npz,2018,-121.07007432579566,38.18419401613576,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008349999785423279,0.4796000123023987,True,True,True,0.0,True,True
